route_variant_name,route_name,directionid,routevarianttypeid,route,route_variant_number,contractid,operator_name,regionname,route_distance,email,mobilephone,homephone,workphone,address,st_length(shape)
East Lismore to Summerland College & TAFE Wollongbar via St John's College,TAFE Wollongbar to East Lismore via Pachamama Latin School,In,School,S381,S381-1,M0814,Nthn Rivers Buslines,RRBSC M0814,32.45,info@buslinesgroup.com.au,0418 214 135,,,"1 Burwood Road, BURWOOD, NSW, 2134",37009.37341308651
Dapto PS - Dapto,Dapto PS to Marshall St af Cleveland St via Kanahooka ,Out,School,S085,S085-10,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,19.96,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",24261.80236788243
Antill St Intg to Harrison School,Bungendore - St Thomas Mores PS via Antill Inter,In,School,S277,S277-11,M0237,QCity Transit,RRBSC M0237,22.08,capitalinfo@cdcbus.com.au,0413 498 237,,,"11 Bass Street, QUEANBEYAN, NSW, 2620",27062.11941065945
Newport Island Rd/Denham to Telegraph Point PS,School Service,In,School,S457,S457-89020,L0822,Busways,RRBSC L0822,61.36,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",72018.52683675327
Sackville Rd/Old Sackville to Wilberforce PS,School Service,In,School,5086,5086-32008,GSBC001,Busways R1,GSBC Contract 1,23.75,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",28574.232562397923
Tocumwal Schools to Tocumwal via Tuppal Rd,Tocumwal to Tocumwal Schools via Tuppal Rd,Out,School,S320,S320-2,P0222,Baldwin's Buses,RRPBC P0222,36.05,baldwinsbusses@bigpond.com,0358743355,0427 743 344,03 5874 3355,"15-23 Hannah Street, TOCUMWAL, NSW, 2714",44462.15362201361
Wollongong - Stanwell Park,Stanwell Park - Wollongong,Out,Regular,2,2-14,OSMBSC009,Premier Charters,OSMBSC Contract 9,28.21,compliance9@premierillawarra.com.au,0437229577,02 4271 1322,(02) 4271 1322,"145 Walker Street, HELENSBURGH, NSW, 2508",34259.32208189997
Ulladulla to Milton via Mollymook & Narrawallee,Ulladulla to Milton via Mollymook & Narrawallee,Out,Regular,740,740-6,S0318,Ulladulla Buslines,RRBSC S0318,7.85,info@buslinesgroup.com.au,0418 214 135,,,"1 Burwood Rd, BURWOOD, NSW, 2134",9639.08235281569
Stockland Shellharbour - Albion Park Station,Wollongong to Shellharbour,In,Regular,53,53-1,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,26.98,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",32828.32480295757
Echuca to Moama via Moama Marketplace (Loop Service),Echuca to Moama via Moama Marketplace (Loop Service),In,Regular,938,938-8,C0274,James Newtons Bus Service Pty,RRPBC C0274,18.07,info@newtonsbusservices.com.au,0417 534 971,03 5484 1129,,"7 Fuller Ave, ROCHESTER, VIC, 3561",22380.3696362256
Marbuk/Amethyst to Settlement City,PortMacq-LighthousePlazaViaTackingPt,In,Regular,324,324-79,L0822,Busways,RRBSC L0822,22.13,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",25982.527737261888
Stanhope/Majestic to The Ponds HS,School Service,In,School,6080,6080-62154,GSBC001,Busways R1,GSBC Contract 1,5.72,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",6892.575445718958
Prince St (Market Sq) to Yamba PS,Yamba-Maclean-Grafton,Out,Regular,380,380-150,L0816,Busways,RRBSC L0816,72.77,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",83676.66958266123
Table Top Public to Wymah via Mullengandra & Bowna,Wymah to Table Top Public via Bowna & Mullengandra,Out,School,S332,S332-4,C0704,Bookabus,RRPBC C0704,89.75,matt@bookabus.net.au,0447 354 357,,,"181 Litchfield Drive, THURGOONA, NSW, 2640",110966.73984730362
Braidwood Schools to Nerriga,Nerriga to Braidwood School,Out,School,S570,S570-1,C0748,Nerriga Rd Bus Company Pty Ltd,RRPBC C0748,50.21,hartsrural@gmail.com,0408 868 675,,,"21a Coghill St, BRAIDWOOD, NSW, 2622",61631.40016881372
"Parramatta Station, Stand A3 to Olympic Park Station",Parramatta to Olympic Park via Newington,In,Regular,525,525-139,GSBC007,Busways North West,GSBC Contract 7,12.8,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",15440.492278302994
Elyard St Opp Narellan Town Ctr - Campbelltown Stn,Campbelltown to Mount Annan via Currans Hill,In,Regular,891,891-18,GSBC002,Transit Systems NSW SW,GSBC Contract 2,18.69,hfraser@transitsystems.com.au,0482 189 107,02 9123 8630,,"49 Percival Road, SMITHFIELD, NSW, 2164",22603.366898769684
Raymond Terrace - Salamander SC,Nelson Bay to Raymond Terrace,Out,Regular,135,135-29,OSMBSC003,Port Stephens,OSMBSC Contract 3,45.7,alison@pscoaches.com.au,0412 423 403,,,"15A Port Stephens Drive, ANNA BAY, NSW, 2316",54427.98268547404
Tumbarumba Schools to Ournie,Ournie to Tumbarumba Schools,Out,School,S305,S305-2,C0401,Apple Transport Services,RRPBC C0401,37.94,susechaff@yahoo.com,0408 667 379,02-6948 3216,(02) 6948 3216 ,"196 Bogong Street, TUMBARUMBA, NSW, 2653",46845.59681838005
Blaxland to Blaxland Station,Penrith - Mount Riverview,In,Regular,691,691-231,OSMBSC008,Blue Mountains Trans,OSMBSC Contract 8,10.44,jodie.mallia@cdcbus.com.au,0411 196 865,,,"25 Great Western Highway, VALLEY HEIGHTS, NSW, 2777",12579.175258769732
Crookwell to Goulburn,Crookwell to Goulburn,In,Regular,818,818-1,C0279,PBC Goulburn,RRPBC C0279,61.99,info@pbcgoulburn.com.au,0400055579,,,"124 Maud Street, GOULBURN, NSW, 2580",75512.30346133227
Wyee Station to Lake Haven Shops,Wyee & Lake Haven via Gwandalan,In,Regular,95X,95X-16,OMBSC006,Busways OMR6,OMBSC Contract 6,49.9,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",59759.790145984494
Calderwood Christian College - Shell Cove,Southern Cross Bvd bf Monkhouse Pde to Tongara College ,Out,School,S126,S126-2,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,23.49,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",28559.08529061016
Kelso to Charles Sturt University,Charles Sturt University to Kelso,In,Regular,525,525-7,M0301,Bathurst Buslines,RRBSC M0301,6.78,info@buslinesgroup.com.au,0418 214 135,,,,8143.365247705202
Cryon to Burren Junction Public,Cryon to Burren Junction Public,In,School,S171,S171-1,C0490,Bakers Buses,RRPBC C0490,67.57,shannalouise85@gmail.com,0417 070 760,,,"26 - 28 Sebastopol St, BURREN JUNCTION, NSW, 2386",78046.81568356698
Swan Bus - Hillvue to Peel High via North Tamworth,Swan Bus - Hillvue to Peel High via North Tamworth,In,School,S119,S119-1,M0812,Tamworth Buslines,RRBSC M0812,36.2,info@buslinegroup.com.au,0418214135,,,"21 Hume Street, TAMWORTH, NSW, 2340",42350.251370109996
Tomingley to Peak Hill Schools,Tomingley to Peak Hill Schools,In,School,S574,S574-1,C0603,G & A Parker Pty Ltd,RRPBC C0603,40.74,agparker5@bigpond.com,0427691942,,,"20 Willaroo St, PEAK HILL, NSW, 2869",48554.93544653394
Inverell Schools to Gilgai,Gilgai to Inverell Schools,Out,School,S657,S657-2,C0719,McCoskers Bus Service Pty Ltd,RRPBC C0719,25.31,mccoskersinverell@hotmail.com,0427201622,0267210021,,"Lot 6 - 9 Wyndham Street, INVERELL, NSW, 2360",29213.00355970444
South West Rocks to Kempsey,South West Rocks to Kempsey,Out,Regular,348,348-17,M0818,Cavanagh Bus & Coach,RRBSC M0818,37.61,manager@cavanaghbus.com.au,0490 832 297,6562 7800,,"1 Tozer St, KEMPSEY, NSW, 2440",43958.04975219638
Nutshell Rd to Tenterfield Schools via Black Swamp,Nutshell Rd to Tenterfield Schools via Black Swamp,In,School,S460,S460-1,C0629,GW&CA HILLIER,RRPBC C0629,38.65,hillierbydesign@gmail.com,0458 609 765,0428 669 409,,"267 Douglas St, TENTERFIELD, NSW, 2372",44191.917419418096
Mt Druitt Station to Penrith Stn,Penrith to Mt Druitt via Christie St,In,Regular,780,780-64,GSBC001,Busways R1,GSBC Contract 1,19.47,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",23462.761268931696
Stockland Forster to Tuncurry via Legacy Village (Loop Service),Stockland Forster to Tuncurry via Legacy Village (Loop Service),In,Regular,303,303-7,M0819,Forster Buslines,RRBSC M0819,15.72,info@buslinesgroup.com.au,0418214135,,,"1 Burwood Rd,, BURWOOD, NSW, 2134",18610.99514202969
Uralla to Armidale,Uralla to Armidale,Out,Regular,480,480-3,C0250,Edwards Coaches,RRPBC C0250,27.49,james@edwardscoaches.com.au,02 6772 3116,02 6772 3116,02 6772 3116,"2 Drew Street, ARMIDALE, NSW, 2350",31976.974145300213
Riverstone Stn to Windsor Stn,Windsor - Riverstone via McGraths Hill & Vineyard,In,Regular,671,671-9,GSBC001,Busways R1,GSBC Contract 1,20.27,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",24403.582739565263
"Mingara Dr opp Hansens Rd to Bateau Bay Square, Access Rd, Bay Villag",Mingara to Bay Village via Bateau Bay West,In,Regular,45,45-1,OMBSC007,Redbus CDC NSW,OMBSC Contract 7,8.85,jodie.mallia@cdcbus.com.au,0243328655,,,"28 Prosperity St, TRUGANINA, VIC, 3029",10636.049679512678
Doust Rd and Federal Hwy to Sutton PS,Lake George Cnr Doust Rd and Federal Hwy - Sutton PS,In,School,S274,S274-3,M0237,QCity Transit,RRBSC M0237,42.58,capitalinfo@cdcbus.com.au,0413 498 237,,,"11 Bass Street, QUEANBEYAN, NSW, 2620",52201.661600168576
Gundabloui Rd to Baroona Rd,Gundabloui Rd to Baroona Rd,In,School,S657,S657-1,C0541,Capcalgrey Pty Ltd,RRPBC C0541,37.92,rkcacochrane@hotmail.com,0427562376,02 67562377,,"204 Gundabloui Rd, COLLARENEBRI, NSW, 2833",43539.03842710281
Kyogle Schools to Geneva,Geneva to Kyogle Schools,Out,School,S310,S310-1,C0848,Meadow View Pastoral Company,RRPBC C0848,6.45,pamela.murphy8463@gmail.com,0429 339 142,02 6633 9142,,,7342.723613247416
Torrington - Emmaville,Torrington - Emmaville,In,School,S291,S291-3,V0960,Cavanagh Bus & Coach,RRBSC V0960,111.65,manager@cavanaghbus.com.au,0490 832 297,6562 7800,,"1 Tozer St, KEMPSEY, NSW, 2440",128136.23743968965
Albury & North Albury to Jindera Schools via Springdale Heights,Albury & North Albury to Jindera Schools via Springdale Heights,Out,School,S840,S840-2,P0202,Martins Albury,RRPBC P0202,25.97,david@martinsalbury.com.au,0408 216 745,02 6040 4400,,"66 Fallon Street, ALBURY, NSW, 2640",32156.37577983013
Wyee Station to St Brendans PS,School Service,In,School,2197,2197-18102,OMBSC006,Busways OMR6,OMBSC Contract 6,25.74,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",30816.68500698676
"Marist Sisters Woolwich, Stand A to East Ryde - Sager Place",School Service,Out,School,579w,579w-1,GSBC007,Busways North West,GSBC Contract 7,10.23,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",12339.558494023508
Murrumburrah  to Currawong via Benmore,Murrumburrah  to Currawong via Benmore,In,School,S303,S303-2,S0267,Busabout Wagga,RRBSC S0267,38.09,depot.manager@busaboutwagga.com.au,0429 300 063,02 4631 4200,0259426600,"264 Hammond Avenue, EAST WAGGA WAGGA, NSW, 2650",46315.29214839434
"Campbelltown Stn, Std B - Toggerai St Opp St James",Campbelltown to Wollongong via Appin,Out,Regular,887,887-28,GSBC002,Transit Systems NSW SW,GSBC Contract 2,19.68,hfraser@transitsystems.com.au,0482 189 107,02 9123 8630,,"49 Percival Road, SMITHFIELD, NSW, 2164",23851.220689771304
Rockdale Stn (Tramway Arc) - Rockdale Stn (Tramway,Rockdale-R'dale Plaza-Dolls Pt-Rockdale,Out,Regular,476,476-5,SBSC006,Transit Systems West,SBSC Contract 6,15.37,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",18592.154185237774
West Wollongong - Illawarra Christian College,Gilmore St bf Reserve St to Illawarra Christian School via Unanderra ,In,School,S120,S120-10,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,15.28,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",18557.567782102895
Goonellabah to Lismore via Invercauld Rd,Lismore to Goonellabah via Invercauld Rd,In,Regular,682,682-1,M0814,Nthn Rivers Buslines,RRBSC M0814,15.78,info@buslinesgroup.com.au,0418 214 135,,,"1 Burwood Road, BURWOOD, NSW, 2134",18010.423719219663
Queanbeyan East PS to Queanbeyan,Queanbeyan East PS - Swan Dr and Fernleigh Dr,Out,School,S142,S142-5,L0328,QCity Transit,RRBSC L0328,57.03,capitalinfo@cdcbus.com.au,0413 498 237,,,"11 Bass Street, QUEANBEYAN, NSW, 2620",70052.92899298774
Kenthurst Rd before Pitt Town Rd to Kenthurst,Kenthurst Cadwells Rd to Kenthurst Pitt Town Rd,Out,Regular,640,640-23,GSBC004,CDC NSW R4,GSBC Contract 4,4.5,customer.service@cdcbus.com.au,0406 495 964,,,"29 Foundry Road, SEVEN HILLS, NSW, 2147",5420.932389674542
St Josephs Regional to Weismantle/Burrawan,School Service,Out,School,S535,S535-78219,L0822,Busways,RRBSC L0822,20.53,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",24107.04952269519
Matong Public to Matong via North Berembed,Matong to Matong Public via North Berembed,Out,School,S647,S647-2,C0804,Steele's Bus Pty Ltd,RRPBC C0804,33.71,jtsteele1@activ8.net.au,0404 371 760,02 6927 7852,,"271 Mattinglys Lane, MATONG, NSW, 2652",41111.9898949403
Rouse Hill Stn (Opp) to Ingenia Lifestyle (H,Rouse Hill to Riverstone & Marsden Park,Out,Regular,742,742-39,GSBC001,Busways R1,GSBC Contract 1,19.63,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",23638.331250219035
Currawarna to Ganmain Schools via Dullah Rd,Currawarna to Ganmain Schools via Dullah Rd,In,School,S368,S368-4,C0587,DR & MT Milne Pty Ltd,RRPBC C0587,64.61,margaretmilne@bigpond.com,0458535660,,(02) 6927 3150,"28 Douglas Street, COOLAMON, NSW, 2701",78914.72330379307
St. Patricks Strathfield - Marketplace Leichhardt,St.Patricks S'field - Leichhardt Marketplace,Out,School,583s,583s-2,SBSC006,Transit Systems West,SBSC Contract 6,9.93,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",11977.846129032438
Bungendore to Mount Fairy,Mount Fairy to Bungendore,Out,School,S563,S563-2,C0495,Bungendore Bus Coach,RRPBC C0495,22.08,stevenscharter@bigpond.com.au,0407 295 564,(02) 6238 3999,(02) 6238 1272,"79 Butmaroo Street, BUNGENDORE, NSW, 2621",27051.80976618706
North Nowra to Berry via Nowra & Bomaderry,Berry to North Nowra via Nowra & Bomaderry,Out,School,S517,S517-1,P0206,Shoalbus,RRPBC P0206,24.78,info@shoalbus.com.au,0410349370,02 4423 2122,(02) 4423 2122,"12 Concorde Way, BOMADERRY, NSW, 2541",30242.284987908915
Ropes Crossing Shops (Hollows Pde) to St Marys Stn,St Marys to Mt Druitt,In,Regular,759,759-61,GSBC001,Busways R1,GSBC Contract 1,5.44,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",6557.265855254718
Merriville/Perfection to The Ponds HS,School Service,In,School,6078,6078-62153,GSBC001,Busways R1,GSBC Contract 1,3.2800000000000002,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",3946.2183912202063
"Parramatta Station, Stand A3 to Ryde Shops - Church St",West Ryde to Parramatta via Melrose Park,In,Regular,524,524-54,GSBC007,Busways North West,GSBC Contract 7,15.14,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",18250.68363133296
Matong & Ganmain Public to Coolamon via Deepwater Rd,Coolamon to Matong & Ganmain Public via Deepwater Rd,Out,School,S420,S420-2,C0552,Chandler's Buses,RRPBC C0552,61.44,mchandler1959@gmail.com,0428273322,,,"70 ARDLETHAN ROAD, COOLAMON, NSW, 2701",74952.69470850767
Warnervale Station to Lake Haven Centre,Lake Haven - Tuggerah,Out,Regular,11,11-15,OSMBSC011,Coastal Liner,OSMBSC Contract 11,12873.13,,,,,,15422.488306544989
Wollongong Uni - Dapto,Dapto to University,Out,Regular,41,41-3,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,14.16,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",17208.106178682356
Albury to Aware Programs Wodonga via Lavington,Albury to Aware Programs Wodonga via Lavington,In,Regular,910,910-7,P0202,Martins Albury,RRPBC P0202,21.56,david@martinsalbury.com.au,0408 216 745,02 6040 4400,,"66 Fallon Street, ALBURY, NSW, 2640",26704.35712569492
Oregon Rd to Warialda Schools,Oregon Rd to Warialda Schools,In,School,S194,S194-1,C0566,Craginview Pty Ltd,RRPBC C0566,46.56,mpcarroll@bigpond.com,0428 291 066,,02 6729 1066,"50 Gragin Road, WARIALDA, NSW, 2402",53490.76025366308
Hippo Bus - Mittagong to Hill Top Public via Colo Vale & Balmoral,Hippo Bus - Hill Top Public to Mittagong via Balmoral & Colo Vale,In,School,S857,S857-1,M0306,Berrima Buslines,RRBSC M0306,43.67,info@buslinesgroup.com.au,0408682627,,,"1 Burwood Rd,, BURWOOD, NSW, 2134",53020.80255882698
Gosford Stn to Gosford Stn,Gosford & Saratoga/Davistown via Green Pt,In,Regular,63,63-58,OMBSC006,Busways OMR6,OMBSC Contract 6,36.2,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",43482.13967743602
Nimbin to Bakersvale Public via Stony Chute & Williams Rd,Nimbin to Bakersvale Public via Stony Chute & Williams Rd,In,School,S260,S260-1,C0430,Quinns Buses,RRPBC C0430,29.04,quinnsbuses@hotmail.com,0428 282 137,,,,33052.347190760775
Hornsby Station to Hornsby Station,Hornsby to Mt Colah (Loop),In,Regular,595,595-11,GSBC014,CDC NSW R14,GSBC Contract 14,19.07,fcl.buses@cdc.com.au,0450 900 176,02 9450 2277,,"29 Prosperity Street,, TRUGANINA, VIC, 3029",22976.629772960703
"Convair Ave to Ballina Central, Kerr St",Holy Family Catholic PS - Ballina,Out,School,S444,S444-1,M0794,CDCNSW,RRBSC M0794,45.85,info.northcoast@cdcbus.com.au / andrew.fogg@cdcbus,0413 498 237,02 6686 2144,02 6686 2144,"5 De Havilland Crescent, BALLINA, NSW, 2478",52328.11508322031
Wollomombi & Jeogla to Chandler Public via Hillgrove,Wollomombi & Jeogla to Chandler Public via Hillgrove,In,School,S601,S601-1,C0518,Brejoel Pty Ltd,RRPBC C0518,72.53,michelle.blackwell@live.com.au,0467 640 767,0467 640 767,,,84237.73814964198
Bowenfels to Lithgow via Lithgow Hospital (Loop Service),Bowenfels to Lithgow via Lithgow Hospital (Loop Service),In,Regular,200,200-12,M0302,Lithgow Buslines,RRBSC M0302,13.18,info@buslinesgroup.com.au,0407 417 936,,,"1 Burwood Road, BURWOOD, NSW, 1805",15839.854269161004
Fish Bus - Westdale to Westdale PS via West Tamworth,Fish Bus - Westdale to Westdale PS via West Tamworth,In,School,S209,S209-1,C0251,Hannafords Coaches,RRPBC C0251,33.82,megan@hannafordsbusservices.com.au,0428255510,,,"15 Stewart Avenue, TAMWORTH, NSW, 2340",39556.17069111999
Kiama Schools to Kiama Downs,Kiama Downs to Kiama Schools,Out,School,S491,S491-2,S0310,Kiama Coaches,RRBSC S0310,7.83,kim@kiamacoaches.com.au,0418 425 770,02 4232 3466,(02) 4232 3466,"154 Shoalhaven Street, KIAMA, NSW, 2533",9542.426856590864
Wollongong - Warrawong via Hopmans Cr,Wollongong to Warrawong,In,Regular,34,34-6,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,18.17,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",22066.849215867085
Church/Kurrawyba to Gosford Stn,Gosford & Nth Avoca via Terrigal,In,Regular,67,67-82,OMBSC006,Busways OMR6,OMBSC Contract 6,14.88,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",17863.720437121978
Old Sackville/Copeland to Windsor Stn,Windsor to Richmond via Wilberforce and Glossodia,Out,Regular,668,668-2,GSBC001,Busways R1,GSBC Contract 1,10.8,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",13003.901582358174
Lismore Schools & Caniaba Public to Casino,Casino to Caniaba Public & Lismore Schools,Out,School,S977,S977-2,C0437,Simes Bros. Coaches,RRPBC C0437,44.93,accounts@sbcoaches.com.au,0402 856 416,02 66215416,02 6621 5416,,51237.34894064526
St Brigid's Catholic College to Woolana/Hulani,School Service,Out,School,2799,2799-18116,OMBSC006,Busways OMR6,OMBSC Contract 6,11.99,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",14379.302420462438
Parkes Danilenko St to Parkes Town Centre,Parkes Danilenko St to Parkes Town Centre,In,Regular,551,551-3,C0283,Western Road Liners,RRPBC C0283,5.31,cjm@westernroadliners.com.au,0429 432 560,02 6862 1915,02 6862 1022,"30 Danilenko St, PARKES, NSW, 2870",6356.380899300213
Nowra to Vincentia Schools,Nowra to Vincentia Schools,In,School,S420,S420-4,M0309,Nowra Coaches,RRBSC M0309,80.71,johnk@premierms.com.au,02 4423 5244,0413168800,02 4423 5244,"10 Investigator Street, NOWRA, NSW, 2541",98730.0107791996
